month,er_visit_overdose_count,inpatient_rehab_count,outpatient_mat_count,police_arrest_count,incarceration_count,lost_productivity_count,foster_care_risk_count
1999-01-01,19468.3,2298.1,182392.5,101640.0,325247.9,8131197.9,975743.7
1999-02-01,19752.9,1041.7,165357.0,103195.6,330225.9,8255648.3,990677.8
1999-03-01,20029.7,1138.9,154947.7,104211.3,333476.2,8336904.1,1000428.5
1999-04-01,40861.9,1771.9,140624.5,105702.8,338249.1,8456226.4,1014747.2
1999-05-01,20818.8,990.1,134706.1,107072.4,342631.6,8565790.2,1027894.8
1999-06-01,21009.3,856.2,134727.2,107923.9,345356.3,8633908.1,1036069.0
1999-07-01,42547.2,2061.3,135445.8,109173.8,349356.2,8733906.2,1048068.8
1999-08-01,21528.7,1087.2,136391.5,110401.3,353284.2,8832105.4,1059852.6
1999-09-01,21694.7,1243.3,137065.4,111205.8,355858.4,8896461.0,1067575.3
1999-10-01,43881.4,2219.0,138091.0,112391.3,359652.1,8991302.1,1078956.3
1999-11-01,22182.6,1263.2,139121.8,113555.0,363376.1,9084402.1,1090128.3
1999-12-01,22341.4,1121.7,139810.2,114316.2,365811.8,9145295.6,1097435.5
2000-01-01,45152.4,2256.5,140842.8,115435.1,369392.4,9234811.0,1108177.3
2000-02-01,22807.9,1353.5,142489.1,116536.2,372916.0,9322898.9,1118747.9
2000-03-01,22957.6,1516.8,143802.9,117269.3,375261.8,9381544.0,1125785.3
2000-04-01,46366.5,2780.5,145822.0,118369.9,378783.5,9469588.0,1136350.6
2000-05-01,23409.8,1561.1,147852.7,119471.0,382307.1,9557678.5,1146921.4
2000-06-01,23561.6,1414.5,149208.5,120205.3,384656.8,9616421.1,1153970.5
2000-07-01,47581.4,2855.3,151243.5,121305.8,388178.7,9704467.3,1164536.1
2000-08-01,24021.8,1440.6,153278.8,122404.9,391695.8,9792394.2,1175087.3
2000-09-01,48511.0,3069.2,155314.1,123501.4,395204.4,9880109.2,1185613.1
2000-10-01,24490.2,1466.0,157349.2,124594.7,398703.0,9967574.6,1196109.0
2000-11-01,24648.0,1641.3,158705.9,125321.1,401027.6,10025690.1,1203082.8
2000-12-01,24806.8,1483.3,160062.8,126045.4,403345.4,10083635.5,1210036.3
2001-01-01,50094.2,2992.3,162098.5,127126.9,406805.9,10170148.3,1220417.8
2001-02-01,25288.2,1509.0,164133.7,128195.0,410223.9,10255597.0,1230671.6
2001-03-01,25451.0,1691.3,165490.6,128892.6,412456.5,10311412.0,1237369.4
2001-04-01,51384.5,3060.6,167525.8,129917.2,415735.2,10393379.4,1247205.5
2001-05-01,25933.4,1721.1,169560.9,130919.4,418942.1,10473553.2,1256826.4
2001-06-01,26095.2,1552.0,170918.5,131572.5,421032.0,10525800.6,1263096.1
2001-07-01,52673.9,3128.8,172953.3,132529.3,424093.7,10602342.4,1272281.1
2001-08-01,26578.6,1577.5,174989.1,133463.2,427082.4,10677058.8,1281247.1
2001-09-01,26739.5,1770.9,176345.5,134070.3,429025.0,10725624.2,1287074.9
2001-10-01,53963.4,3197.4,178381.0,134958.0,431865.7,10796642.5,1295597.1
2001-11-01,27221.0,1801.1,180416.4,135822.8,434632.8,10865821.1,1303898.5
2001-12-01,27383.8,1620.2,181773.6,136383.6,436427.5,10910687.8,1309282.5
2002-01-01,55246.1,3265.5,183808.1,137202.2,439046.9,10976172.1,1317140.7
2002-02-01,27862.5,1293.0,184853.6,138014.4,441646.1,11041151.3,1324938.2
2002-03-01,28035.7,1490.9,185223.5,138550.2,443360.5,11084012.0,1330081.4
2002-04-01,56580.8,2587.9,185751.1,139339.9,445887.7,11147192.0,1337663.0
2002-05-01,28545.2,1501.5,186308.1,140114.8,448367.2,11209180.1,1345101.6
2002-06-01,28718.4,1316.0,186707.3,140621.2,449987.9,11249696.8,1349963.6
2002-07-01,57956.4,2665.9,187355.4,141366.1,452371.5,11309287.6,1357114.5
2002-08-01,29237.9,1350.1,188052.0,142095.9,454706.8,11367670.6,1364120.5
2002-09-01,29401.2,1560.3,188550.4,142572.5,456232.0,11405800.2,1368696.0
2002-10-01,59331.8,2761.6,189349.1,143272.3,458471.5,11461787.6,1375414.5
2002-11-01,29930.8,1599.1,190198.9,143957.4,460663.5,11516588.4,1381990.6
2002-12-01,30103.9,1412.7,190800.8,144404.2,462093.4,11552335.7,1386280.3
2003-01-01,60717.4,2865.4,191757.2,145059.7,464190.9,11604772.8,1392572.7
2003-02-01,30623.4,1628.0,193257.4,145693.9,466220.4,11655509.1,1398661.1
2003-03-01,30796.5,1850.1,194459.6,146104.1,467533.1,11688328.7,1402599.4
2003-04-01,62102.2,3353.5,196338.0,146703.6,469451.7,11736291.8,1408355.0
2003-05-01,31295.7,1910.0,198266.4,147287.7,471320.5,11783012.4,1413961.5
2003-06-01,31478.8,1717.7,199581.5,147666.8,472533.8,11813345.2,1417601.4
2003-07-01,63456.8,3482.6,201595.6,148220.2,474304.8,11857619.2,1422914.3
2003-08-01,31988.0,1764.8,203650.9,148758.5,476027.2,11900679.2,1428081.5
2003-09-01,32151.1,1996.7,205049.6,149107.4,477143.6,11928591.0,1431430.9
2003-10-01,64821.4,3611.2,207188.6,149615.7,478770.4,11969259.6,1436311.2
2003-11-01,32670.2,2050.2,209369.8,150109.4,480350.1,12008751.8,1441050.2
